exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0p1_b0p3_none,best_recon_aux,mlp,max,eb,0.7040910443917655,0.7117152244859503,-0.0076241800941847,196,0.0969816922315685,0.7208649590394361,0.7017002300695743,0.0191647289698618,189,0.0935180603661553,0.01677391464767064,0.0267889090640465,-7
exp03_fb0p02_b1p0_lpsd,best,mlp,max,eb,0.7011878132327655,0.7117152244859503,-0.0105274112531847,196,0.0969816922315685,0.7162292039955364,0.7017002300695743,0.014528973925962,189,0.0935180603661553,0.01504139076277089,0.025056385179146698,-7
exp03_fb0_b0p3_lpsd,best,logistic,quantile,eb,0.7009276594344848,0.6852215032151786,0.0157061562193061,196,0.0969816922315685,0.7155690016947869,0.6899515602232781,0.0256174414715087,189,0.0935180603661553,0.014641342260302115,0.009911285252202601,-7
exp03_fb0_b0p1_none,best_recon_aux,gbm,mean,eb,0.7727828539729602,0.7314949660210456,0.0412878879519146,196,0.0969816922315685,0.7871413627377649,0.7215409961290331,0.0656003666087318,189,0.0935180603661553,0.014358508764804712,0.024312478656817196,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,gbm,mean,eb,0.7418561337110747,0.7314949660210456,0.0103611676900291,196,0.0969816922315685,0.7560231378083242,0.7215409961290331,0.034482141679291,189,0.0935180603661553,0.01416700409724947,0.0241209739892619,-7
exp03_fb0p02_b0p1_lpsd,best,gbm,mean,eb,0.7418561337110747,0.7314949660210456,0.0103611676900291,196,0.0969816922315685,0.7560231378083242,0.7215409961290331,0.034482141679291,189,0.0935180603661553,0.01416700409724947,0.0241209739892619,-7
exp03_fb0p02_b1p0_lpsd,best_recon_aux,mlp,window_score,eb,0.7296509087339026,0.6789522251691357,0.0506986835647669,196,0.0969816922315685,0.7435277711420953,0.6895776480484126,0.0539501230936827,189,0.0935180603661553,0.013876862408192747,0.003251439528915802,-7
exp03_fb0_b0p1_comb,best_recon_aux,mlp,quantile,eb,0.6988019234813408,0.6903264519718817,0.0084754715094591,196,0.0969816922315685,0.7126385721742636,0.696092599953435,0.0165459722208286,189,0.0935180603661553,0.013836648692922782,0.008070500711369501,-7
exp03_fb0p05_b0p3_comb,best,gbm,mean,eb,0.7290500210540303,0.7314949660210456,-0.0024449449670153,196,0.0969816922315685,0.742791829522979,0.7215409961290331,0.0212508333939458,189,0.0935180603661553,0.01374180846894868,0.0236957783609611,-7
exp03_fb0_b0p3_none,best,logistic,mean,eb,0.7194508316234378,0.7125878172203186,0.0068630144031192,196,0.0969816922315685,0.7331198524682465,0.7176276009331412,0.0154922515351053,189,0.0935180603661553,0.0136690208448087,0.0086292371319861,-7
