exp_name,readout,task,pr_auc_mean,pr_auc_untrained,gap_mean,gap_sd,n_seeds,gap_se,mean_over_2se
exp04_fb0p02_b0p05_lpsd,gbm,transit,0.157716,0.132107,0.025609,0.000793,2,0.000561,True
exp04_enc_z32,gbm,transit,0.189178,0.165633,0.023544,0.027032,3,0.015607,False
exp04_enc_whalf,gbm,transit,0.181713,0.158524,0.023189,0.006956,2,0.004919,True
exp04_enc_d5,gbm,transit,0.17758,0.163127,0.014453,0.005647,2,0.003993,True
exp04_enc_z64,gbm,transit,0.159,0.156423,0.002577,0.030536,3,0.01763,False
exp04_enc_d5,logistic,transit,0.153841,0.08274,0.0711,0.005258,2,0.003718,True
exp04_fb0p01_b0p05_lpsd,logistic,transit,0.141158,0.080578,0.06058,0.013212,2,0.009342,True
exp04_fb0p02_b0p05_lpsd,logistic,transit,0.138561,0.080578,0.057983,0.016879,2,0.011935,True
exp04_enc_whalf,logistic,transit,0.134735,0.080603,0.054132,0.003752,2,0.002653,True
exp04_fb0p02_b0p2_lpsd,logistic,transit,0.134318,0.080578,0.05374,0.020837,2,0.014734,True
exp03_fb0_b0p1_comb,logistic,transit,0.129633,0.080578,0.049055,0.014157,3,0.008173,True
exp04_fb0p01_b0p1_lpsd,logistic,transit,0.128187,0.080578,0.047609,0.011815,2,0.008355,True
exp04_winner_ep100,logistic,transit,0.122909,0.080578,0.042331,,1,,False
exp03_fb0p05_b0p3_lpsd,logistic,transit,0.120568,0.080578,0.03999,0.006673,3,0.003853,True
exp04_fb0p04_b0p2_lpsd,logistic,transit,0.120336,0.080578,0.039759,,1,,False
exp03_fb0p02_b0p1_lpsd,logistic,transit,0.119691,0.080578,0.039113,0.003304,3,0.001908,True
exp04_fb0p04_b0p05_lpsd,logistic,transit,0.118323,0.080578,0.037745,,1,,False
exp04_enc_w2x,logistic,transit,0.127283,0.091626,0.035656,0.008381,2,0.005927,True
exp04_enc_z64,logistic,transit,0.116605,0.081384,0.035221,0.016634,3,0.009604,True
exp04_enc_d3,logistic,transit,0.116386,0.083622,0.032764,0.001909,2,0.00135,True
exp04_enc_k9,logistic,transit,0.137148,0.104402,0.032746,0.00795,2,0.005621,True
exp04_enc_k15,logistic,transit,0.13296,0.100463,0.032497,0.004688,2,0.003315,True
exp04_fb0p01_b0p2_lpsd,logistic,transit,0.108906,0.080578,0.028328,,1,,False
exp04_enc_z64k9,logistic,transit,0.13785,0.110593,0.027257,0.005463,2,0.003863,True
exp04_fb0p04_b0p1_lpsd,logistic,transit,0.106408,0.080578,0.02583,,1,,False
exp04_enc_z32,logistic,transit,0.099615,0.085146,0.01447,0.01168,3,0.006743,True
